"productId","key","value"
"0","Hãng CPU","AMD"
"0","Công nghệ CPU","Ryzen 5"
"0","Loại CPU","7520U"
"0","Tốc độ CPU tối thiểu","2.8 Ghz"
"0","Tốc độ tối đa","4.3 GHz"
"0","Số nhân","4"
"0","Số luồng","8"
"0","Bộ nhớ đệm","4 MB"
"0","Hãng (Card Oboard)","AMD"
"0","Model (Card Oboard)","Radeon"
"0","Tên đầy đủ (Card onbroad)","AMD Radeon Graphics"
"0","Bộ nhớ","Share"
"0","Dung lượng RAM","16 GB"
"0","Loại RAM","LPDDR5"
"0","Tốc độ RAM","5500 MHz"
"0","Số khe cắm rời","0"
"0","Số khe RAM còn lại","0"
"0","Số RAM onboard","1"
"0","Hỗ trợ RAM tối đa","Không nâng cấp"
"0","Kiểu ổ cứng","SSD"
"0","Hỗ trợ công nghệ Optane","Không"
"0","Tổng số khe cắm SSD/HDD","1"
"0","Loại SSD","1 M2. PCIe"
"0","Dung lượng SSD","512 GB"
"0","Kích thước màn hình","14.0 inch"
"0","Công nghệ màn hình","LED-backlit"
"0","Độ phân giải","1920 x 1080 Pixels"
"0","Loại màn hình","LED"
"0","Tần số quét","60 Hz"
"0","Tấm nền","TN"
"0","Độ sáng","250 nits"
"0","Độ phủ màu","45% NTSC"
"0","Tỷ lệ màn hình","16:09"
"0","Hỗ trợ cảm ứng","Không"
"0","Cổng giao tiếp","1 Jack 3.5 mm 1 USB 3.2 Gen 1 1 HDMI 1.4 1 DC-in jack 1 USB 2.0"
"0","Wifi","802.11 ac"
"0","Bluetooth","v5.0"
"0","Webcam","HD Webcam (720p Webcam)"
"0","Công nghệ âm thanh","Asus SonicMaster stereo"
"0","OS","Windows"
"0","Version","Windows 11 Home"
"0","Type","64 bit"
"0","Bảo mật","Mật khẩu"
"0","Kiểu bàn phím","Chiclet Keyboard"
"0","Bàn phím số","Không"
"0","Đèn bàn phím","Không"
"0","TouchPad","Multi-touch touchpad"
"0","Loại PIN","Lithium-ion"
"0","Dung lượng pin","42 Wh"
"0","Phụ kiện trong hộp","Bộ sạc điện Sách HDSD Adapter"
"0","Số lượng loa","1"
"0","Kích thước","32.45 x 21.39 x 1.79 cm"
"0","Trọng lượng sản phẩm","1.3 kg"
"0","Bản lề (Hinge / Kickstand)","Bản lề đơn"
"0","Tản nhiệt","1 quạt"
"0","Chất liệu","Mặt lưng máy: Nhựa"
"0","P/N","90NB0ZS2-M00730"
"0","Xuất xứ","Trung Quốc"
"0","Thời điểm ra mắt","04/2023"
"0","Thời gian bảo hành","24 tháng"
"0","Hướng dẫn bảo quản","Để nơi khô ráo, nhẹ tay, dễ vỡ."
"0","Hướng dẫn sử dụng","Xem trong sách hướng dẫn sử dụng"
"0","Màu sắc","Đen"
"1","Hãng CPU","Intel"
"1","Công nghệ CPU","Core i5"
"1","Loại CPU","1235U"
"1","Tốc độ CPU tối thiểu","1.3"
"1","Tốc độ tối đa","5.5 GHz"
"1","Hãng (Card Oboard)","Intel"
"1","Model (Card Oboard)","UHD"
"1","Tên đầy đủ (Card onbroad)","Intel UHD Graphics"
"1","Dung lượng RAM","16 GB (2 thanh 8 GB)"
"1","Loại RAM","DDR4"
"1","Số khe cắm rời","2"
"1","Số khe RAM còn lại","0"
"1","Số RAM onboard","0"
"1","Hỗ trợ RAM tối đa","16 GB"
"1","Kiểu ổ cứng","SSD"
"1","Dung lượng nâng cấp tối đa ổ cứng","Nâng cấp tối đa 512GB (SSD M2 PCIe)"
"1","Loại SSD","1 M.2 NVMe"
"1","Dung lượng SSD","512"
"1","Kích thước màn hình","15.6 inch"
"1","Công nghệ màn hình","Anti-Glare LED-Blacklit"
"1","Độ phân giải","1920 x 1200 Pixels"
"1","Tần số quét","120 Hz"
"1","Tấm nền","WVA"
"1","Cổng giao tiếp","2 USB 3.2 Gen 1 1 USB 2.0 1 Jack 3.5 mm 1 HDMI 1.4 1 SD Card"
"1","Wifi","Wifi 6 802.11 ax"
"1","Bluetooth","v5.2"
"1","Webcam","HD Webcam (720p Webcam)"
"1","OS","Windows"
"1","Version","Windows 11 Home Single Language"
"1","Phần mềm khác","Microsoft Office Home&Student 2021 vĩnh viễn"
"1","Bảo mật","Mật khẩu Mở khóa vân tay"
