'product_id','score','name','displayName','typePim','type','slug','price','industry','brand','productType','group','keySellingPoints','units','image','originalPrice','currentPrice','discountPercentage','endTimeDiscount','promotions','totalInventory','skus'
'"252399529603"','20.506838','Lenovo Gaming LOQ - 15IAX9 i5 12450HX (83GS005KVN)','Lenovo Gaming LOQ - 15IAX9 i5 12450HX (83GS005KVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx','22990000','','','','','','','','22990000','19290000','16','2025-03-25T23:59:00.000+07:00','','0',''
'"480145836077"','20.506643','Acer Aspire Lite AL16-51P-55N7','Acer Aspire Lite AL16-51P-55N7','Normal','Normal','may-tinh-xach-tay/acer-aspire-lite-al16-51p-55n7','14990000','','','','','','','','14990000','13490000','10','2025-03-25T23:59:00.000+07:00','','0',''
'"170116638221"','20.506256','ASUS Vivobook 15 X1504ZA-NJ517W i5-1235U','ASUS Vivobook 15 X1504ZA-NJ517W i5-1235U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u','16490000','','','','','','','','16490000','13790000','16','2025-03-25T23:59:00.000+07:00','','0',''
'"431997138342"','20.48938','Asus Vivobook E1404FA-NK186W R5 7520U','Asus Vivobook E1404FA-NK186W R5 7520U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u','14990000','','','','','','','','14990000','12290000','18','2025-03-25T23:59:00.000+07:00','','0',''
'"453768134256"','20.48914','Acer Aspire 3 A315-44P-R5QG R7-5700U','Acer Aspire 3 A315-44P-R5QG R7-5700U','Normal','Normal','may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u','14990000','','','','','','','','14990000','12490000','17','2025-03-25T23:59:00.000+07:00','','0',''
'"945222911187"','20.48882','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN)','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-ai-24gb','23990000','','','','','','','','23990000','20290000','15','2025-03-25T23:59:00.000+07:00','','0',''
'"223706537163"','20.488771','Asus Vivobook 14 OLED A1405ZA-KM264W i5 12500H','Asus Vivobook 14 OLED A1405ZA-KM264W i5 12500H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-14-oled-a1405za-km264w','17990000','','','','','','','','17990000','15790000','12','2025-03-25T23:59:00.000+07:00','','0',''
'"887652712360"','20.488605','Asus Gaming Vivobook K3605ZF-RP634W i5-12500H','Asus Gaming Vivobook K3605ZF-RP634W i5-12500H','Normal','Normal','may-tinh-xach-tay/asus-gaming-vivobook-k3605zf-rp634w-i5-12500h','19490000','','','','','','','','19490000','16990000','13','2025-03-25T23:59:00.000+07:00','','0',''
'"510107136851"','20.307814','HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA)','HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA)','Normal','Normal','may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u','21290000','','','','','','','','21290000','17990000','16','2025-03-25T23:59:00.000+07:00','','0',''
'"861557153993"','20.307814','HP 14s-em0086AU R5 7520U (835T9PA)','HP 14s-em0086AU R5 7520U (835T9PA)','Normal','Normal','may-tinh-xach-tay/hp-14s-em0086au-r5-7520u','15190000','','','','','','','','15190000','12790000','16','2025-03-25T23:59:00.000+07:00','','0',''
'"562862215986"','20.307795','Dell Inspiron N3530 i5 1334U_71043885','Dell Inspiron N3530 i5 1334U_71043885','Normal','Normal','may-tinh-xach-tay/dell-inspiron-n3530-i5-1334u-71043885','19990000','','','','','','','','19990000','18490000','8','2025-03-31T23:59:00.000+07:00','','0',''
'"615023827674"','10.506959','HP 15-fd0235TU i5-1334U (9Q970PA)','HP 15-fd0235TU i5-1334U (9Q970PA)','Normal','Normal','may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u','19590000','','','','','','','','19590000','15890000','19','2025-03-25T23:59:00.000+07:00','','0',''
'"121144012382"','10.5068865','HP 14s-dq5121TU i3-1215U (8W355PA)','HP 14s-dq5121TU i3-1215U (8W355PA)','Normal','Normal','may-tinh-xach-tay/hp-14s-dq5121tu-i3-1215u','12990000','','','','','','','','12990000','9490000','27','2025-03-25T23:59:00.000+07:00','','0',''
'"359513625041"','10.506581','Asus Vivobook X1504VA-NJ526W i5 1335U','Asus Vivobook X1504VA-NJ526W i5 1335U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u','18990000','','','','','','','','18990000','15490000','18','2025-03-25T23:59:00.000+07:00','','0',''
'"970118640110"','10.50448','Acer Aspire 7 A715-76-53PJ i5 12450H (NH.QGESV.007)','Acer Aspire 7 A715-76-53PJ i5 12450H (NH.QGESV.007)','Normal','Normal','may-tinh-xach-tay/acer-aspire-7-a715-76-53pj-i5-12450h','16990000','','','','','','','','16990000','13990000','18','2025-03-25T23:59:00.000+07:00','','0',''
