"id","name","description","price","sourceURL"
"0","Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6\" FHD/Win11","Laptop Asus Vivobook 15 X1504ZA-NJ517W thuộc dòng laptop Asus Vivobook với giá thành phải chăng nhưng hiệu năng lại cực kỳ ấn tượng. Vi xử lý Intel Core i5 1235U cùng với 16GB RAM và ổ cứng SSD 512GB đem đến sức mạnh phần cứng đáng kinh ngạc để xử lý mượt mà không chỉ tác vụ văn phòng mà còn có tác vụ đồ họa và chơi game eSports thoải mái.","13790000","/may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u"
"1","Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16\" WUXGA/Win11","Acer Aspire Lite AL16-51P-55N7 là chiếc laptop văn phòng thế hệ mới được Acer trình làng đầu năm 2024. Sở hữu cấu hình với sự góp mặt của chipset Intel Core i5 1235U, 16GB RAM, ổ cứng SSD 512GB và màn hình 16 inch siêu sắc nét, đây sẽ là lựa chọn lý tưởng hàng đầu cho những người đang tìm kiếm chiếc laptop mạnh mẽ ở phân khúc tầm trung.","13690000","/may-tinh-xach-tay/acer-aspire-lite-al16-51p-55n7"
"2","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Ở Lenovo Gaming LOQ - 15IAX9 có sự kết hợp sức mạnh từ vi xử lý Intel Core i5 12450HX với card rời RTX 2050 trong một thiết kế mỏng nhẹ. Diện mạo mạnh mẽ chuẩn khí chất gaming cùng màn hình 144Hz đem đến những trận game mượt mà và trải nghiệm xem phim với những pha chuyển động nhanh chóng mặt.","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx"
"3","Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14\" FHD/Win11","ASUS Vivobook E1404FA-NK186W thuộc dòng Vivobook Go 14, dòng laptop hiệu năng cao giá rẻ giúp bạn làm việc hiệu quả mọi lúc mọi nơi. Với bộ vi xử lý AMD 7000 series mạnh mẽ, trang bị sẵn tới 16GB RAM, 512GB SSD, Vivobook E1404FA sẽ mang đến trải nghiệm làm việc thoải mái, vô cùng mượt mà.","12290000","/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u"
"4","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","Dell Inspiron N3520 có hiệu suất ổn định khi sở hữu bộ vi xử lý Intel Core i5 1235U cùng 16GB RAM và 512GB ổ cứng SSD. Màn hình 15.6 inch, độ phân giải FHD mở ra không gian hiển thị chất lượng, sắc nét. Diện mạo máy đơn giản, kết cấu cứng cáp, bền bỉ, phù hợp với mọi đối tượng.","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-i5-1235ui5u165w11blu-fp"
"5","Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6\"FHD/Win11","Acer Aspire 3 A315-44P-R5QG là chiếc laptop mỏng nhẹ đa năng cho học sinh, sinh viên, nhân viên văn phòng. Sở hữu bộ vi xử lý AMD Ryzen 7 cực mạnh đi cùng dung lượng RAM lên tới 16GB, Aspire 3 A315 cho bạn làm việc mượt mà và năng suất hơn.","12290000","/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u"
"6","Laptop Asus Gaming Vivobook K3605ZF-RP634W i5-12500H/16GB/512GB/16\"/Nvidia GeForce RTX2050 4GB/Win11","Giải pháp tuyệt vời để giải trí, sáng tạo và học tập dành cho các bạn học sinh/sinh viên, chiếc laptop gaming Asus Vivobook K3605ZF-RP634W ghi điểm nhờ mức giá rất tốt, khả năng đa nhiệm bền bỉ và được trang bị card đồ họa RTX2050 hết sức xịn sò. Chip xử lý Intel Core i5-12500H sẽ cung cấp sức mạnh tuyệt vời cho mọi tác vụ bạn dùng.","16990000","/may-tinh-xach-tay/asus-gaming-vivobook-k3605zf-rp634w-i5-12500h"
"7","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Lên kệ với mức giá rất vừa túi tiền game thủ Việt, Lenovo LOQ 15IAX9 i5 12450HX ghi điểm nhờ phong cách thiết kế gọn gàng nhưng vẫn toát lên tinh thần gaming đậm nét. Sản phẩm sở hữu cấu hình mạnh mẽ với chip Intel Core i5 12450HX cùng card đồ họa rời RTX 2050, cung cấp hiệu năng chơi game cực tốt.","20490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-ai-24gb"
"8","Laptop Lenovo Gaming LOQ 15ARP9 R5-7235HS/12GB/512GB/15.6FHD/RTX3050 6GB/Win11","Với hiệu năng bứt phá cùng màn hình sắc nét, Lenovo LOQ 15ARP9 83JC007VVN sẽ nâng tầm trải nghiệm gaming và sáng tạo của bạn. Sản phẩm được trang bị chip AMD Ryzen 5 7235HS, card đồ họa NVIDIA GeForce RTX 3050 6GB, màn hình 144Hz siêu mượt và thiết kế hiện đại. Đây sẽ là bạn đồng hành đáng tin cậy của bạn trên mọi chiến trường ảo.","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15arp9-r5-7235hs-83jc007hvn"
"9","Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14\" 2.8K/Win11","Không chỉ ghi điểm bởi ngoại hình tinh tế, ASUS Vivobook 14 OLED A1405ZA-KM264W còn mang những trang bị ấn tượng với chip Intel Core i5 12500H, RAM 16GB và ổ cứng SSD 512GB, đáp ứng tốt các tác vụ hàng ngày. Màn hình 14 inch, độ phân giải 2.8K cùng chuẩn gam màu 100% DCI-P3 đảm bảo mọi thứ được tái hiện sắc nét với màu sắc sống động, mang đến trải nghiệm hấp dẫn.","15790000","/may-tinh-xach-tay/asus-vivobook-14-oled-a1405za-km264w"
"10","Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","Laptop Dell Inspiron 15 3530 sở hữu hiệu suất mạnh mẽ đến từ vi xử lý i7 1355U, RAM 16GB và ổ SSD 512GB, đáp ứng nhiều nhu cầu khác nhau của người dùng. Màn hình 15.6 inch, độ phân giải FHD và tần số quét 120Hz mở ra không gian hiển thị rộng rãi, sắc nét, diễn đạt chuyển động mượt mà, hứa hẹn về một trải nghiệm hoàn hảo.","21490000","/may-tinh-xach-tay/dell-inspiron-15-n3530-i7-1355u-n5i7305w1"
"11","Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11","Hiệu suất đáng kinh ngạc của một chiếc PC trong thiết kế laptop siêu nhỏ gọn, HP Pavilion 15-eg3111TU với bộ vi xử lý Intel Core i5 Gen 13 thế hệ mới sẽ giúp bạn làm được nhiều việc hơn và tận hưởng niềm vui giải trí mọi lúc mọi nơi.","17490000","/may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u"
"12","Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11","Với việc trang bị sẵn tới 16GB RAM và bộ vi xử lý Ryzen 5 7520 thuộc thế hệ AMD 7000 series mới nhất, HP 14s-em0086AU tự tin cùng bạn vượt qua mọi thử thách trong học tập, công việc. Kiểu dáng nhỏ gọn, bền bỉ sẽ giúp laptop dễ dàng để đồng hành bên bạn đi khắp muôn nơi.","12490000","/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u"
"13","Laptop Dell Inspiron N3530 i5 1334U/16GB/512GB/15.6\"FHD/Win11/Office HS21","Dell Inspiron N3530 là một lựa chọn tốt trong phân khúc laptop tầm 20 triệu đồng. Màn hình siêu ấn tượng với tần số quét 120Hz tái hiện chuyển động mượt mà. Cấu hình phần cứng với chip Intel Core i5 1334U cùng 16GB RAM và ổ cứng SSD 512GB đáp ứng tốt nhu cầu xử lý công việc.","18490000","/may-tinh-xach-tay/dell-inspiron-n3530-i5-1334u-71043885"
"14","Laptop Acer Aspire Lite AL14-52M-54CJ i5 1334U/16GB/512GB/14\"FHD+/Win11","Acer Aspire Lite 14 AL14-52M-54CJ là lựa chọn tối ưu cho giới sinh viên, nhân viên văn phòng hoặc bất kỳ ai đang kiếm tìm một mẫu laptop AI mạnh mẽ với mức giá hợp lý. Với thiết kế mỏng nhẹ, hiệu suất vượt trội và công nghệ AI thông minh, sản phẩm mang lại trải nghiệm học tập, làm việc và giải trí đầy ấn tượng.","14990000","/may-tinh-xach-tay/acer-aspire-lite-al14-52m-54cj"
"15","Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6\"FHD//Win11","HP 15-fd0235TU thuộc phân khúc laptop tầm trung với thiết kế chuẩn văn phòng nhỏ gọn, trang nhã. Với vi xử lý Intel Core i5 1334U, 16GB RAM và ổ cứng 512GB, sản phẩm sở hữu hiệu năng mạnh mẽ, đáp ứng tốt công việc hàng ngày với các ứng dụng văn phòng, thiết kế đồ họa cơ bản cũng như giải trí với nhiều trò chơi thịnh hành hiện nay.","15490000","/may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u"
