'product_id','description'
'611307815062',''
'861557153993',''
'510107136851',''
'193908039653',''
'237340616366',''
'822234810184',''
'764671220404',''
'829664835033',''
'431997138342',''
'562862215986',''
'252399529603',''
'248202137817',''
'147341328969',''
'311972931059',''
'554487313440',''
'512115025125',''
'183072621850',''
'935782834351',''
'595590528078',''
'876735734145',''
'945222911187',''
'708793233419',''
'741127624775',''
'666356334786',''
'453768134256',''
'416454817272',''
'543667801489',''
'046353126540',''
'032855416896',''
'056245414441',''
'065892624461',''
'947007532068',''
'887652712360',''
'285686710762',''
'640859430061',''
'547235416981',''
'836547146168',''
'510107137037',''
'792661839250',''
'214820034717',''
'278349628211',''
'528007133007',''
'42771278618',''
'730294411104',''
'428315630748',''
'468136115853',''
'411965813747',''
'223706537163',''
'168671830585',''
'859112167381',''
'798892233189',''
'701241529190',''
'120117528553',''
'264739610738',''
'000560716967',''
'615023827674',''
'917839116095',''
'312759537151',''
'359513625041',''
'574650330101',''
'859111987014',''
'614478231918',''
'121144012382',''
'528517525916',''
'382313126939',''
'970118640110',''
'480145836077',''
'557713838934',''
'506319927985',''
'327713629487',''
'254494638136',''
'013211018396',''
'690921025013',''
'773673034438',''
'228257628029',''
'960892718483',''
'872126614527',''
'052698224173',''
'906860812660',''
'659321435353',''
'170116638221',''
'206635113626',''
'961595214074',''
'859119724039',''
'859112924252',''
'611931427112',''
'28296158915',''
'623010011994',''
'604379534097',''
'432287428516',''
'627073135037',''
'108821314687',''
'275666611887',''
'600820810362',''
'849993831689',''
'882327024163',''
'379081510935',''
'646868412703',''
'444265811235',''
'228257628029',''
'375605815949',''
'12697098901',''
'760192214174',''
'659321435353',''
'723212324646',''
'957169829290',''
'861557159583',''
'221302828848',''
'611931427112',''
'859111013627',''
'432287428516',''
'604379534097',''
'205585924565',''
'864618530299',''
'791656427540',''
'543668596372',''
'934370125986',''
'879454733722',''
'937764712088',''
'424276227039',''
'510107136292',''
'543668006638',''
'178210514203',''
'334001138771',''
'434669416153',''
'106734414032',''
'534146642274',''
'815104927516',''
'011281333455',''
'345542617094',''
'220525936415',''
'900855027719',''
'980490911722',''
'639565232958',''
'234763512150',''
'628192014548',''
'294089912559',''
'711644212361',''
'723965625418',''
'861557140019',''
'173896110981',''
'35760516877',''
'698130926378',''
'480811538353',''
'050481527195',''
'632617218002',''
'723965625418',''
'453007945134',''
'174746436825',''
'503622134806',''
'859111305979',''
'698130926378',''
'173896110981',''
'629964513514',''
'661304126881',''
'35760516877',''
'050481527195',''
'859111305979',''
'572096238106',''
'038979539058',''
'227312011542',''
'230445027840',''
'129583116889',''
'095919316567',''
'010512411348',''
'477960426837',''
'861557159770',''
'81998579139',''
'585445816036',''
'642002438095',''
'419899532803',''
'112521031023',''
'754757715051',''
'684241731843',''
'317880630994',''
'031300633884',''
'717629310676',''
'122418917837',''
'010377146540',''
'893306515563',''
'804484927655',''
'346451832787',''
'196394614308',''
'753709615102',''
'136515415817',''
'435315135642',''
'858967431062',''
'353033435338',''
'416432412935',''
'834192327384',''
'084122414684',''
'202045110255',''
'520789914794',''
'619952624669',''
'009322514268',''
'882817212898',''
'915329529269',''
'576605229337',''
'224210117913',''
'009322514268',''
'688478024852',''
'453285313952',''
'576605229337',''
'209174412068',''
'288060216463',''
'862536217749',''
'228223212851',''
