'data-id','data-issetup','data-maingroup','data-subgroup','data-type','data-vehicle','data-productcode','data-price-root','data-ordertypeid','data-pos','sourceURL','data-s','data-site','data-pro','data-cache','data-sv','data-name','data-id','data-price','data-brand','data-cate','data-box','data-pos','data-color','data-productstatus','data-premium','data-promotiontype','imageURL','percent','gift','rating','unit-sold'
'289472','0','22','42','1','1','0220042002881','24990000.0','2','3','/laptop/apple-macbook-air-m2-2022-16gb-256gb','Nomal','1','3','True','webtgdd-26-83','Laptop MacBook Air 13 inch M2 16GB/256GB','289472','21190000.0','MacBook','Laptop','BoxCate','0','Xanh đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/289472.jpg','-15%','null','5','• Đã bán 4,3k'
'334996','0','22','42','1','1','0220042003048','15790000.0','154','1','/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U/16GB/512GB/Win11 (NX.J39SV.002)','334996','14390000.0','Acer','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/334996.jpg','-8%','Quà 2.390.000₫','5','• Đã bán 288'
'325500','0','22','42','1','1','0220042002681','14390000.0','2','2','/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn','Nomal','1','3','True','webtgdd-26-83','Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN)','325500','13190000.0','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325500.jpg','-8%','Quà 2.490.000₫','4.9','• Đã bán 3,9k'
'333104','0','22','42','1','1','0220042002968','20590000.0','2','6','/laptop/dell-inspiron-15-3520-i7-71053682','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682)','333104','19990000.0','Dell','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/333104.jpg','0%','Quà 400.000₫','5','• Đã bán 597'
'329853','0','22','42','1','1','0220042002831','16990000.0','2','10','/laptop/dell-inspiron-15-3520-i5-n3520i5u165w11blufp','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U165W11BLU-FP)','329853','16490000.0','Dell','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/329853.jpg','0%','Quà 400.000₫','5','• Đã bán 1,9k'
'311176','0','22','42','1','1','0220042002356','21290000.0','2','4','/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA)','311176','18190000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/311176.jpg','-14%','Quà 2.490.000₫','4.9','• Đã bán 3,9k'
'322222','0','22','42','1','1','0220042002575','13990000.0','154','7','/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)','322222','12590000.0','Acer','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/322222.jpg','-10%','Quà 2.390.000₫','4.9','• Đã bán 2,8k'
'322270','0','22','42','1','1','0220042002577','16490000.0','2','5','/laptop/asus-vivobook-x1404za-i5-nk376w','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)','322270','14690000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/322270.jpg','-10%','Quà 2.490.000₫','4.9','• Đã bán 6,7k'
'310449','0','22','42','1','1','0220042002337','13990000.0','154','9','/laptop/msi-modern-15-b12mo-i5-625vn','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop MSI Modern 15 B12MO i5 1235U/8GB/512GB/Win11 (625VN)','310449','10990000.0','MSI','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/310449.','-21%','Quà 2.490.000₫','4.9','• Đã bán 1,8k'
'326279','0','22','42','1','1','0220042002710','20990000.0','2','11','/laptop/msi-thin-15-b12uc-i5-2045vn','Nomal','1','3','True','webtgdd-26-83','Laptop MSI Gaming Thin 15 B12UC i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Balo/Win11 (2045VN)','326279','18190000.0','MSI','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326279.jpg','-13%','Quà 2.490.000₫','5','• Đã bán 817'
'326876','0','0','0','0','0','','0.0','2','17','/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001','Nomal','1','3','False','webtgdd-26-83','Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001)','326876','0','Acer','Laptop','BoxCate','0','','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326876.jpg','0%','null','5','• Đã bán 2,9k'
'330162','0','22','42','1','1','0220042002845','19990000.0','154','12','/laptop/asus-fa506nfr-r7-hn113w','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus TUF Gaming A15 FA506NFR R7 7435HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN113W)','330162','17690000.0','Asus','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/330162.jpg','-11%','Quà 2.490.000₫','4.9','• Đã bán 650'
'326830','0','22','42','1','1','0220042002733','24990000.0','2','14','/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA)','326830','23990000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326830.jpg','0%','Quà 2.490.000₫','5','• Đã bán 1k'
