'local_id','name','sku','doc_quyen','manufacturer','url_key','url_path','categories','review','is_installment','stock_available_id','company_stock_id','filter','is_parent','price','prices','special_price','promotion_information','thumbnail','promotion_pack','sticker','flash_sale_types'
'97539','Laptop HP 15-FC0086AU A6VV9PA','laptop-hp-15-fc0086au-a6vv9pa','','HP','laptop-hp-15-fc0086au-a6vv9pa','laptop-hp-15-fc0086au-a6vv9pa.html','','','0','46','46','','','15190000','','12990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/97539.png','','',''
'71865','Laptop Acer Gaming Aspire 7 A715-76-53PJ','laptop-acer-gaming-aspire-7-a715-76-53pj','','Acer','laptop-acer-gaming-aspire-7-a715-76-53pj','laptop-acer-gaming-aspire-7-a715-76-53pj.html','','','0','46','46','','','16990000','','13990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/71865.png','','',''
'93958','Mac mini M4 2024 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam','mac-mini-m4-2024-16gb-256gb','','Apple','mac-mini-m4-2024-16gb-256gb','mac-mini-m4-2024-16gb-256gb.html','','','0','46','46','','','14990000','','14290000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/93958.png','','',''
'99127','Laptop HP Gaming Victus 15-FA1139TX 8Y6W3PA','laptop-hp-victus-15-fa1139tx-8y6w3pa','','HP','laptop-hp-victus-15-fa1139tx-8y6w3pa','laptop-hp-victus-15-fa1139tx-8y6w3pa.html','','','0','46','46','','','24590000','','16790000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/99127.png','','',''
'86208','Laptop ASUS Gaming VivoBook K3605ZC-RP564W','laptop-asus-gaming-vivobook-k3605zc-rp564w','','ASUS','laptop-asus-gaming-vivobook-k3605zc-rp564w','laptop-asus-gaming-vivobook-k3605zc-rp564w.html','','','0','46','46','','','25290000','','17490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/86208.png','','',''
'74747','Laptop Gaming Acer Nitro V ANV15-51-57B2','laptop-gaming-acer-nitro-v-anv15-51-57b2','','Acer','laptop-gaming-acer-nitro-v-anv15-51-57b2','laptop-gaming-acer-nitro-v-anv15-51-57b2.html','','','0','46','46','','','26990000','','23490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/74747.png','','',''
'101832','MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025','','Apple','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025','apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html','','','0','46','46','','','26990000','','26490000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/101832.png','','',''
'82011','Laptop ASUS VivoBook S 16 OLED S5606MA-MX051W ','laptop-asus-vivobook-s-16-oled-s5606ma-mx051w','','ASUS','laptop-asus-vivobook-s-16-oled-s5606ma-mx051w','laptop-asus-vivobook-s-16-oled-s5606ma-mx051w.html','','','0','46','46','','','29990000','','24990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/82011.png','','',''
'65165','Laptop MSI Modern 14 C12MO-660VN','laptop-msi-modern-14-c12mo-660vn','','MSI','laptop-msi-modern-14-c12mo-660vn','laptop-msi-modern-14-c12mo-660vn.html','','','0','46','46','','','15990000','','11590000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/65165.png','','',''
'49568','Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chính hãng Apple Việt Nam','macbook-air-m2-2022-16gb','','Apple','macbook-air-m2-2022-16gb','macbook-air-m2-2022-16gb.html','','','0','46','46','','','24990000','','20990000','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/CellphoneS/images/49568.png','','',''
