'local_id','data-issetup','data-maingroup','data-subgroup','data-type','data-vehicle','data-productcode','data-price-root','data-ordertypeid','data-pos','sourceURL','data-s','data-site','data-pro','data-cache','data-sv','data-name','data-price','data-brand','data-cate','data-box','data-color','data-productstatus','data-premium','data-promotiontype','imageURL','percent','gift','rating','unit-sold'
'334996','0','22','42','1','1','0220042003048','15790000.0','2','0','/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002','Nomal','1','3','True','webtgdd-26-120','Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U/16GB/512GB/Win11 (NX.J39SV.002)','14190000.0','Acer','Laptop','BoxCate','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/334996.jpg','-10%','Quà 2.390.000₫','5',''
'325691','0','22','42','1','1','0220042002694','21990000.0','2','0','/laptop/hp-15-fd0015tu-i7-a19c5pa','Nomal','1','3','True','webtgdd-26-120','Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA)','20190000.0','HP','Laptop','BoxCate','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/325691.jpg','-8%','Quà 2.490.000₫','4.9',''
'333104','0','22','42','1','1','0220042002968','20590000.0','2','0','/laptop/dell-inspiron-15-3520-i7-71053682','Nomal','1','3','True','webtgdd-26-120','Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682)','19990000.0','Dell','Laptop','BoxCate','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/333104.jpg','','Quà 400.000₫','5',''
'322270','0','22','42','1','1','0220042002577','16490000.0','154','0','/laptop/asus-vivobook-x1404za-i5-nk376w','TwoPriceDetail','1','3','True','webtgdd-26-120','Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W)','14490000.0','Asus','Laptop','BoxCate','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/322270.jpg','-12%','Quà 2.490.000₫','4.9',''
'322072','0','22','42','1','1','0220042002566','24990000.0','2','0','/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn','Nomal','1','3','True','webtgdd-26-120','Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN)','21690000.0','Lenovo','Laptop','BoxCate','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/322072.jpg','-13%','Quà 2.490.000₫','4.9',''
'311176','0','22','42','1','1','0220042002356','21290000.0','2','0','/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa','Nomal','1','3','True','webtgdd-26-120','Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA)','18190000.0','HP','Laptop','BoxCate','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/311176.jpg','-14%','Quà 2.490.000₫','4.9',''
'325500','0','22','42','1','1','0220042002681','14390000.0','2','0','/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn','Nomal','1','3','True','webtgdd-26-120','Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN)','13190000.0','Lenovo','Laptop','BoxCate','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/325500.jpg','-8%','Quà 2.490.000₫','4.9',''
'322222','0','22','42','1','1','0220042002575','13990000.0','154','0','/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001','TwoPriceDetail','1','3','True','webtgdd-26-120','Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001)','12290000.0','Acer','Laptop','BoxCate','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/322222.jpg','-12%','Quà 2.390.000₫','4.9',''
'310449','0','22','42','1','1','0220042002337','13990000.0','154','0','/laptop/msi-modern-15-b12mo-i5-625vn','TwoPriceDetail','1','3','True','webtgdd-26-120','Laptop MSI Modern 15 B12MO i5 1235U/8GB/512GB/Win11 (625VN)','10990000.0','MSI','Laptop','BoxCate','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/310449.','-21%','Quà 2.490.000₫','4.9',''
'333427','0','22','42','1','1','0220042002983','22490000.0','2','0','/laptop/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001','Nomal','1','3','True','webtgdd-26-120','Laptop Acer Gaming Nitro V 15 ANV15 41 R1JY R5 6600H/16GB/512GB/6GB RTX3050/165Hz/Win11 (NH.QPFSV.001)','20490000.0','Acer','Laptop','BoxCate','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/laptops/TGDD/images/333427.jpg','-8%','Quà 3.290.000₫','5',''
