'local_id','Công nghệ CPU','Số nhân','Số luồng','Tốc độ CPU','Tốc độ tối đa','RAM','Loại RAM','Tốc độ Bus RAM','Hỗ trợ RAM tối đa','Ổ cứng','Màn hình','Độ phân giải','Tần số quét','Độ phủ màu','Công nghệ màn hình','Card màn hình','Công nghệ âm thanh','Cổng giao tiếp','Kết nối không dây','Webcam','Đèn bàn phím','Kích thước','Chất liệu','Thông tin Pin','Hệ điều hành','Thời điểm ra mắt','Khe đọc thẻ nhớ','Tính năng khác','Tản nhiệt','Màn hình cảm ứng','NPU','Hiệu năng xử lý AI (TOPS)'
'334996','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325691','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333104','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322270','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322072','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311176','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325500','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322222','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'310449','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333427','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327050','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328237','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329853','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326861','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321467','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334795','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'282827','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333102','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336036','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'318163','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328906','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331644','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330932','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322082','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335170','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333103','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'317704','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'314630','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328814','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334446','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326279','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330162','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326830','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325247','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'321436','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322073','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'323325','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326876','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327097','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326122','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'312414','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'317712','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'311177','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'332369','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327707','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334794','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'272282','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325479','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325242','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'329858','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334449','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334689','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'333423','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326831','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'316941','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327872','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'330075','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'334450','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328235','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331506','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'322100','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'336967','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328949','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325953','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'335554','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325480','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338207','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'302209','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'308697','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327898','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325306','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'309565','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'328950','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327051','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327980','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'326637','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'331518','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'325588','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'338204','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'337470','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'327977','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'304543','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
